ID,Argila,Silte,Areia Total,Al2O3,CaO,Ce,Cl,Cr,Cu,Fe,K2O,Mn,Ni,P2O5,Rb,SiO2,Sr,Ta,Ti,V,Zn,Zr
130 Média,64,25,11,172599,116,432,545,2502,60,155141,869,285,162,0,7,178067,0,0,11082,205,37,192
131 Média,54,22,24,150493,0,1858,413,0,60,142393,2586,736,10,688,12,238700,0,7,15598,164,73,234
132 Média,37,21,42,213858,348,0,630,25,8,23494,5014,70,9,252,9,338863,7,15,2831,0,45,156
133 Média,46,10,44,217869,996,0,856,79,8,30033,2228,0,9,0,2,309056,4,22,3957,0,22,154
134 Média,76,5,19,174295,576,1569,445,428,48,106475,2251,432,132,0,9,218274,0,15,10920,0,35,150
135 Média,57,10,33,113476,3493,456,540,177,93,123171,1552,1269,18,269,12,171167,0,6,11229,264,47,205
136 Média,41,8,51,189991,215,1222,513,290,20,47479,2337,787,57,0,10,327233,0,17,8110,0,37,243
137 Média,75,10,15,156995,0,382,518,3751,66,160047,858,0,329,0,12,110845,0,8,11184,346,43,150
138 Média,71,14,15,141245,52,0,509,1232,32,166707,705,493,72,0,6,101184,0,0,15455,413,26,256
139 Média,69,11,20,151090,0,386,588,908,48,147191,1003,502,59,0,0,153510,0,16,16284,262,37,306
140 Média,69,11,20,166429,0,408,500,496,26,119687,761,385,18,0,0,142800,0,6,13819,154,17,335
141 Média,69,11,20,162305,51,502,593,1459,41,139293,897,243,89,0,3,138389,0,15,12459,221,26,262
142 Média,0,0,0,149019,0,418,999,387,33,25580,1136,0,17,958,0,88892,0,15,11149,0,8,138
143 Média,67,6,27,160653,340,1069,640,721,19,96997,1072,319,30,0,3,153241,2,22,11287,33,20,291
144 Média,49,10,41,191578,979,349,809,12,11,21711,6359,416,16,244,14,320012,8,10,2821,0,44,130
145 Média,41,17,42,159826,1033,1247,640,0,20,61475,8502,447,10,0,52,271608,13,0,8414,0,39,232
146 Média,75,12,13,165894,0,825,319,1661,43,176849,841,570,117,0,8,131830,0,8,15017,222,35,230
147 Média,61,15,24,170528,0,2039,647,116,43,92622,1517,325,18,421,0,239252,10,6,9575,0,27,354
148 Média,48,13,39,194103,0,1267,701,109,23,48237,2665,144,40,0,0,258092,0,7,5283,0,14,273
149 Média,72,12,16,179190,0,577,525,712,43,143931,789,465,23,0,3,151641,0,15,15856,221,24,351
150 Média,64,6,30,218327,0,958,542,234,16,88770,839,252,14,0,0,148109,0,25,12727,35,14,287
151 Média,65,17,18,172132,0,1556,653,574,37,119774,956,376,17,0,6,188436,0,21,12115,49,26,247
152 Média,36,17,47,199177,557,0,730,0,10,17632,5450,138,9,123,11,356197,18,9,2412,0,35,151
153 Média,60,10,30,203766,0,1351,734,611,21,62629,1137,121,45,0,0,227279,0,19,6907,0,18,189
154 Média,63,25,12,161581,386,396,600,1152,92,180549,893,894,115,0,13,118211,0,0,13251,419,69,179
155 Média,67,10,23,156577,1379,679,695,522,55,121662,1216,727,61,287,0,182342,2,6,11565,162,57,221
156 Média,65,18,17,147598,1689,1594,348,170,66,115242,1431,619,43,522,4,204360,3,6,12165,41,56,222
157 Média,69,5,26,174989,737,0,556,3996,68,164963,1082,410,354,233,8,150650,0,0,12528,368,52,165
158 Média,40,25,35,247618,1336,787,719,341,18,49903,1713,119,32,0,2,287251,9,15,8829,88,21,236
159 Média,66,13,21,187014,249,1823,437,764,26,97979,1740,184,42,310,9,234503,0,19,9321,0,27,210
160 Média,46,11,43,177051,260,1671,817,0,18,65788,1489,233,0,281,2,233012,8,19,8776,0,22,240
161 Média,69,8,23,165895,0,486,504,381,34,128879,1048,533,35,0,3,128053,0,14,15450,228,29,331
162 Média,67,9,24,187436,615,891,251,383,49,119362,1568,548,27,239,3,196426,3,6,12979,171,31,307
163 Média,51,17,32,206853,256,1378,700,204,37,81726,3380,764,70,306,10,307838,2,7,10000,47,39,273
164 Média,60,14,26,199521,1323,1900,881,416,51,91345,2728,420,173,498,9,257310,11,15,7327,0,39,217
165 Média,48,33,19,200687,1278,1613,576,577,64,102830,3356,777,239,0,16,313815,0,7,8700,75,111,197
166 Média,29,37,34,293321,58,764,741,97,13,26586,2258,0,5,0,0,373362,2,18,2792,0,14,152
